Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
KKR & CO. INC. (XNYS:KKR),KKR,Finance,$46.32,0.02,0.04%,26708629580,1468398,$49.29,$15.55,1.38,15,"3,315,823"
KIRKLAND LAKE GOLD LTD. (XNYS:KL),KL,Basic Industries,$34.14,1.6,4.92%,9116191747,1291597,$57.69,$18.03,0.74,11.2,"2,025,215"
KIMBERLY-CLARK CORPORATION (XNYS:KMB),KMB,Consumer Durables,$129.18,0.79,0.62%,43709851702,968213,$160.16,$110.66,0.53,18.72,"2,162,123"
Kayne Anderson NE&Inf (XNYS:KMF),KMF,,$6.37,0.05,0.79%,300647833,57497,$9.22,$1.22,#FIELD!,#FIELD!,"232,062"
"KINDER MORGAN, INC. (XNYS:KMI)",KMI,Public Utilities,$15.17,0.13,0.86%,34351709837,7480373,$20.69,$9.42,1.11,322.4,"17,653,790"
KEMPER CORPORATION (XNYS:KMPR),KMPR,Finance,$76.89,-0.48,-0.62%,5032810730,86805,$85.70,$53.81,0.78,12.56,"329,508"
KENNAMETAL INC. (XNYS:KMT),KMT,Capital Goods,$38.64,-1.49,-3.71%,3227715236,259868,$41.80,$14.45,2.11,0,"770,200"
"CARMAX, INC. (XNYS:KMX)",KMX,Consumer Durables,$121.01,-0.38,-0.31%,19669140986,471289,$128.58,$37.59,1.66,26.75,"1,189,974"
KNOWLES CORPORATION (XNYS:KN),KN,Consumer Non-Durables,$21.32,-0.02,-0.09%,1955606315,141810,$21.88,$11.10,1.41,"1,401.18","731,903"
"KNOLL, INC. (XNYS:KNL)",KNL,Consumer Durables,$17.25,0.255,1.50%,874012004,148549,$17.95,$7.74,1.95,197.35,"273,848"
KNOT OFFSHORE PARTNERS COM UNT (XNYS:KNOP),KNOP,Consumer Services,$17.16,0.12,0.70%,561030653,72943,$17.95,$8.67,#FIELD!,#FIELD!,"137,384"
KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC. (XNYS:KNX),KNX,Transportation,$44.89,0.64,1.45%,7623737696,463910,$47.44,$27.54,1.34,18.38,"1,767,416"
THE COCA-COLA COMPANY (XNYS:KO),KO,Consumer Non-Durables,$50.37,0.465,0.93%,2.17E+11,5846696,$59.00,$36.27,0.61,27.84,"16,076,979"
EASTMAN KODAK COMPANY (XNYS:KODK),KODK,Miscellaneous,$9.55,0.3999,4.37%,736902047,3618662,$60.00,$1.50,5.61,0,"9,807,467"
Coca-Cola Femsa SAB de CV (XNYS:KOF),KOF,Consumer Non-Durables,$44.15,0.84,1.94%,9275197563,82951,$57.73,$36.16,0.83,0,"136,878"
Koppers Holdings Inc. (XNYS:KOP),KOP,Basic Industries,$35.38,0.415,1.19%,746360994,70944,$37.68,$8.25,2.07,8.28,"146,718"
KOSMOS ENERGY LTD. (XNYS:KOS),KOS,Energy,$3.14,-0.06,-1.88%,1280628662,3444867,$3.53,$0.50,3.91,0,"8,197,371"
THE KROGER CO. (XNYS:KR),KR,Consumer Services,$32.72,-0.17,-0.52%,24911275803,7415838,$42.99,$27.33,0.34,8.77,"12,588,870"
KRATON CORPORATION (XNYS:KRA),KRA,Basic Industries,$39.17,-1.31,-3.24%,1248422127,131295,$45.89,$4.45,2.48,0,"255,040"
KILROY REALTY CORPORATION (XNYS:KRC),KRC,Consumer Services,$63.94,-0.59,-0.91%,7440639998,297101,$78.70,$45.28,0.85,39.8,"1,358,444"
KKR REAL ESTATE FINANCE TRUST INC. (XNYS:KREF),KREF,Consumer Services,$18.90,0.1,0.53%,1051207189,304093,$20.66,$6.84,0.73,19.08,"357,514"
KITE REALTY GROUP TRUST (XNYS:KRG),KRG,Consumer Services,$19.06,-0.29,-1.50%,1606610666,147949,$20.05,$6.87,1.49,0,"442,471"
"KRONOS WORLDWIDE, INC. (XNYS:KRO)",KRO,Basic Industries,$14.95,0.015,0.10%,1726785906,106024,$16.34,$6.81,1.32,27.35,"144,217"
KIMBELL ROYALTY PARTNERS UNT (XNYS:KRP),KRP,Energy,$10.99,0.26,2.42%,660302916,65117,$11.69,$3.51,#FIELD!,#FIELD!,"204,840"
QUAKER CHEMICAL CORPORATION (XNYS:KWR),KWR,Basic Industries,$283.15,-3.455,-1.21%,5048921587,28060,$301.99,$108.14,1.55,802.67,"71,600"
Kayne Anderson Enrgy Inf (XNYS:KYN),KYN,,$7.06,0.02,0.28%,892719731,322457,$12.00,$1.00,#FIELD!,#FIELD!,"703,248"
LOEWS CORPORATION (XNYS:L),L,Finance,$49.80,0.28,0.57%,13298918588,244568,$50.85,$27.33,0.91,0,"894,289"
Lithium Americas Corp. (XNYS:LAC),LAC,Basic Industries,$19.29,0.295,1.55%,2302120937,3300325,$28.75,$1.92,1.63,0,"6,694,074"
"LITHIA MOTORS, INC. (XNYS:LAD)",LAD,Consumer Durables,$385.49,6.29,1.66%,10266514624,193363,$392.60,$55.74,1.89,19.73,"305,985"
LADDER CAPITAL CORP (XNYS:LADR),LADR,Consumer Services,$11.58,0.125,1.09%,1438395815,1033482,$17.36,$2.65,2.36,34.11,"1,082,431"
LAIX Inc. (XNYS:LAIX),LAIX,Consumer Services,$2.64,-0.07,-2.58%,130448295,219277,$11.65,$1.36,#FIELD!,0,"7,642,918"
LAZARD LTD (XNYS:LAZ),LAZ,Finance,$40.95,0.43,1.06%,4301058885,445937,$46.95,$20.94,1.59,11.51,"897,320"
"L BRANDS, INC. (XNYS:LB)",LB,Consumer Services,$55.96,-0.79,-1.39%,15562955185,1352523,$57.63,$8.00,1.77,19.22,"5,404,562"
LIBERTY OILFIELD SERVICES INC. (XNYS:LBRT),LBRT,Energy,$12.30,-0.37,-2.92%,2208353747,364017,$13.63,$2.17,#FIELD!,0,"1,418,701"
LENDINGCLUB CORPORATION (XNYS:LC),LC,Finance,$12.03,0.22,1.86%,941139309,429265,$14.28,$4.32,1.71,0,"1,578,886"
"LANNETT COMPANY, INC. (XNYS:LCI)",LCI,Health Care,$6.12,0.0685,1.13%,253316485,181686,$10.70,$4.89,1.25,0,"902,629"
LCI INDUSTRIES (XNYS:LCII),LCII,Capital Goods,$138.91,-4.63,-3.23%,3494167561,63127,$154.78,$55.29,1.66,22.91,"169,394"
Lithoquest Resources Inc. (XTSX:LDI),LDI,Finance,$23.70,2.93,14.11%,3016733682,712286,$0.14,$0.03,-0.29,#FIELD!,#FIELD!
"LYDALL, INC. (XNYS:LDL)",LDL,Capital Goods,$38.65,-0.74,-1.88%,690295416,86545,$42.06,$4.79,3.11,0,"101,010"
"LEIDOS HOLDINGS, INC. (XNYS:LDOS)",LDOS,Technology,$91.39,-1.0453,-1.13%,12968428382,466615,$113.75,$68.00,0.89,21.2,"1,151,701"
Cohen & Steers LDP & Inc (XNYS:LDP),LDP,,$25.27,0.095,0.38%,730418022,30913,$26.71,$12.20,#FIELD!,#FIELD!,"50,223"
LEAR CORPORATION (XNYS:LEA),LEA,Capital Goods,$170.56,0.4,0.24%,10253216788,176737,$171.83,$63.20,1.61,66.22,"497,335"
LEAF GROUP LTD. (XNYS:LEAF),LEAF,Technology,$5.75,0.48,9.11%,204739181,186902,$7.62,$1.03,1.97,0,"477,738"
Ribbit LEAP Ltd (XNYS:LEAP),LEAP,Finance,$13.55,-0.42,-3.01%,792742750,158567,$16.36,$10.96,#FIELD!,0,"215,358"
"LEE ENTERPRISES, INCORPORATED (XNYS:LEE)",LEE,Consumer Services,$2.43,0.19,8.48%,142797813,642152,$2.54,$0.71,1.4,17.47,"800,569"
"LEGGETT & PLATT, INCORPORATED (XNYS:LEG)",LEG,Consumer Durables,$45.05,1,2.27%,5991083046,547601,$46.13,$22.03,1.5,24.21,"983,717"
LEJU HOLDINGS LIMITED (XNYS:LEJU),LEJU,Finance,$3.13,-0.0786,-2.45%,426821369,28631,$6.96,$1.03,0.91,24.96,"192,678"
LENNAR CORPORATION (XNYS:LEN),LEN,Basic Industries,$83.76,1.16,1.40%,26142895043,1699826,$95.72,$25.42,1.47,10.51,"2,793,433"
BNY Mellon Strat Muni (XNYS:LEO),LEO,,$8.47,-0.015,-0.18%,526605635,71902,$8.84,$5.83,#FIELD!,#FIELD!,"134,492"
LEVI STRAUSS & CO. (XNYS:LEVI),LEVI,Consumer Non-Durables,$23.83,0.25,1.06%,9485765439,320117,$24.05,$9.09,#FIELD!,0,"1,529,773"
China Life Insurance Company Limited (XNYS:LFC),LFC,Finance,$10.53,-0.085,-0.80%,59497214550,240036,$13.63,$8.27,1.1,8.27,"531,655"
"LUMENT FINANCE TRUST, INC. (XNYS:LFT)",LFT,Consumer Services,$3.33,0.0452,1.38%,82941737,17564,$3.81,$0.86,1.28,11.28,"57,937"
Lazard Gl Tot Ret & Inc (XNYS:LGI),LGI,,$18.66,0.1602,0.87%,242762876,19003,$19.15,$8.54,#FIELD!,#FIELD!,"36,877"
LABORATORY CORPORATION OF AMERICA HOLDINGS (XNYS:LH),LH,Health Care,$243.66,2.16,0.89%,23756850000,398209,$252.45,$98.02,1.04,15.26,"860,010"
"LHC GROUP, INC. (XNAS:LHCG)",LHCG,,$9.85,-0.1,-1.01%,,42393,$236.81,$100.00,0.38,54.09,"177,874"
"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)",LHX,Capital Goods,$186.74,2.12,1.15%,39236321789,479969,$212.00,$142.01,0.86,35.51,"1,408,028"
LENNOX INTERNATIONAL INC. (XNYS:LII),LII,Capital Goods,$285.08,3.1025,1.10%,10757179044,104837,$319.77,$163.40,0.82,30.45,"273,367"
LINDE PUBLIC LIMITED COMPANY (XNYS:LIN),LIN,Basic Industries,$256.44,4.95,1.97%,1.35E+11,931154,$274.58,$146.71,0.78,60.05,"1,996,080"
Linx SA (XNYS:LINX),LINX,Technology,$6.74,-0.21,-3.02%,1184172323,25034,$7.44,$2.83,#FIELD!,0,"41,304"
"LIGHTINTHEBOX HOLDING CO., LTD. (XNYS:LITB)",LITB,Consumer Services,$3.70,-0.2,-5.13%,413569631,359142,$5.69,$0.58,0.65,19.69,"1,498,510"
"LUMBER LIQUIDATORS HOLDINGS, INC. (XNYS:LL)",LL,Consumer Services,$24.17,-1.076,-4.26%,698017215,832403,$35.10,$3.77,2.55,15.71,"477,734"
ELI LILLY AND COMPANY (XNYS:LLY),LLY,Health Care,$207.55,1.075,0.52%,1.99E+11,1776280,$218.00,$117.06,0.29,30.41,"3,980,495"
"LEMONADE, INC. (XNYS:LMND)",LMND,Finance,$112.91,-19.52,-14.74%,6389636629,5206907,$188.30,$44.11,#FIELD!,0,"3,157,607"
LOCKHEED MARTIN CORPORATION (XNYS:LMT),LMT,Capital Goods,$337.01,3.54,1.06%,94397657281,1008173,$417.62,$266.11,0.96,13.61,"1,906,838"
LINCOLN NATIONAL CORPORATION (XNYS:LNC),LNC,Finance,$57.84,-0.33,-0.57%,11102866973,500632,$60.64,$16.11,2.26,24.61,"1,817,790"
BrasilAgro - Brazilian Agricultural Real Estate Company (XNYS:LND),LND,Consumer Non-Durables,$4.10,-0.06,-1.44%,324649993,19081,$5.72,$2.50,#FIELD!,0,"33,416"
L&F ACQUISITION CORP. (XNYS:LNFA),LNFA,Finance,$10.03,-0.122,-1.20%,0,114016,$10.70,$9.58,#FIELD!,0,"133,461"
LINDSAY CORPORATION (XNYS:LNN),LNN,Capital Goods,$162.24,-5.48,-3.27%,1762777511,17120,$169.98,$71.86,0.33,49.01,"72,022"
Loma Negra Compania Industrial Argentina SA (XNYS:LOMA),LOMA,Capital Goods,$5.63,-0.0302,-0.53%,671101435,83374,$6.49,$3.01,1.57,11.39,"272,598"
"LOWE'S COMPANIES, INC. (XNYS:LOW)",LOW,Consumer Services,$164.31,2.37,1.46%,1.20E+11,1828289,$180.67,$60.00,1.32,22.86,"3,804,483"
Dorian LPG Ltd. (XNYS:LPG),LPG,Transportation,$13.09,0.29,2.27%,653020699,850297,$14.90,$6.08,1.37,8.41,"699,059"
"LAREDO PETROLEUM, INC (XNYS:LPI)",LPI,Energy,$32.35,-0.92,-2.77%,388820344,226751,$39.42,$6.60,4.68,0.71,"488,370"
"LG Display Co., Ltd. (XNYS:LPL)",LPL,Capital Goods,$10.19,-0.08,-0.78%,7292283966,271577,$11.24,$3.64,1.11,0,"935,301"
LOUISIANA-PACIFIC CORPORATION (XNYS:LPX),LPX,Basic Industries,$47.99,-1.03,-2.10%,5111217949,677173,$50.00,$12.97,1.84,10.9,"1,456,401"
"STRIDE, INC. (XNYS:LRN)",LRN,Consumer Services,$24.70,-0.63,-2.49%,1027580589,203401,$52.84,$15.06,0.54,20.53,"762,275"
"LIFE STORAGE, INC. (XNYS:LSI)",LSI,Consumer Services,$83.14,-0.07,-0.08%,6273931132,195335,$87.21,$44.87,0.28,58.65,"548,024"
Lightspeed POS Inc. (XNYS:LSPD),LSPD,Technology,$71.28,-0.88,-1.22%,8472629983,349949,$82.53,$8.17,#FIELD!,0,"850,591"
"LTC PROPERTIES, INC. (XNYS:LTC)",LTC,Consumer Services,$41.13,-0.18,-0.44%,1614032714,114614,$48.99,$24.49,0.96,17.09,"217,933"
LIVENT CORPORATION (XNYS:LTHM),LTHM,Basic Industries,$20.19,0.95,4.94%,2953847818,2773490,$23.99,$3.95,#FIELD!,0,"3,774,886"
LUFAX HOLDING LTD (XNYS:LU),LU,Finance,$15.84,0.335,2.16%,38608041783,1831569,$20.17,$11.56,#FIELD!,19.96,"4,575,530"
"LUBY'S, INC. (XNYS:LUB)",LUB,Consumer Services,$3.29,0.04,1.23%,101141121,23257,$3.43,$0.46,1.14,0,"123,388"
"LUMEN TECHNOLOGIES, INC. (XNYS:LUMN)",LUMN,Public Utilities,$13.00,0.485,3.88%,14257220334,7658364,$16.60,$8.16,1.1,0,"19,354,651"
SOUTHWEST AIRLINES CO. (XNYS:LUV),LUV,Transportation,$58.11,0.045,0.08%,34321314627,4225259,$59.84,$22.47,1.26,0,"9,126,918"
LAS VEGAS SANDS CORP. (XNYS:LVS),LVS,Consumer Services,$64.94,1.89,3.00%,49603960394,3472751,$65.20,$33.30,1.52,0,"8,728,614"
"LAMB WESTON HOLDINGS, INC. (XNYS:LW)",LW,Consumer Non-Durables,$80.63,-0.64,-0.79%,11800610262,215839,$88.45,$39.06,0.8,40.4,"673,320"
LEXINGTON REALTY TRUST (XNYS:LXP),LXP,,$10.64,-0.175,-1.62%,2951794660,602744,$12.08,$7.86,0.61,16.85,"1,546,852"
"LSB INDUSTRIES, INC. (XNYS:LXU)",LXU,Basic Industries,$4.32,-0.56,-11.48%,126181346,321228,$5.19,$1.00,2.42,0,"337,141"
LyondellBasell Industries NV (XNYS:LYB),LYB,Basic Industries,$109.18,2.84,2.67%,36457283517,918101,$109.44,$33.71,1.59,24.98,"1,632,223"
LLOYDS BANKING GROUP PLC (XNYS:LYG),LYG,Finance,$2.15,0,0.00%,38081534735,3606607,$2.56,$1.17,1.54,32.95,"5,745,924"
"LIVE NATION ENTERTAINMENT, INC. (XNYS:LYV)",LYV,Consumer Services,$91.73,-1.135,-1.22%,19575682580,914676,$94.25,$21.70,1.46,0,"2,741,770"
LA-Z-BOY INCORPORATED (XNYS:LZB),LZB,Consumer Durables,$42.13,0.13,0.31%,1950479676,437503,$46.34,$15.61,1.14,27.43,"580,440"
"MACY'S, INC. (XNYS:M)",M,Consumer Services,$15.49,0.1701,1.11%,4809333858,7974727,$22.30,$4.38,2.15,0,"24,422,301"
MASTERCARD INCORPORATED. (XNYS:MA),MA,Miscellaneous,$365.13,2.23,0.61%,3.63E+11,1884039,$368.79,$199.99,1.19,56.89,"4,671,873"
"MID-AMERICA APARTMENT COMMUNITIES, INC. (XNYS:MAA)",MAA,Consumer Services,$135.86,0.32,0.24%,15540938721,281884,$145.13,$82.00,0.62,61.81,"706,817"
THE MACERICH COMPANY (XNYS:MAC),MAC,Consumer Services,$13.20,0.195,1.50%,2042164169,2992399,$25.99,$4.56,2.12,0,"13,044,099"
MAIN STREET CAPITAL CORPORATION (XNYS:MAIN),MAIN,,$36.82,0.45,1.24%,2440154260,174338,$40.20,$14.11,1.48,96.78,"433,412"
MANPOWERGROUP INC. (XNYS:MAN),MAN,Technology,$95.00,-2.28,-2.34%,5224511510,215544,$99.37,$49.57,2.1,236.04,"438,341"
MANCHESTER UNITED PLC (XNYS:MANU),MANU,Consumer Services,$18.82,-0.07,-0.37%,3066515612,130237,$19.39,$12.06,0.91,0,"162,424"
MASCO CORPORATION (XNYS:MAS),MAS,Capital Goods,$54.33,-0.15,-0.28%,13970543767,854540,$60.16,$27.04,1.33,17.84,"2,053,049"
"Matson, Inc. (XNYS:MATX)",MATX,Consumer Services,$75.27,0.26,0.35%,3242534878,153386,$79.05,$23.75,1.04,16.93,"221,099"
Pioneer Mu Hi Inc Advt (XNYS:MAV),MAV,,$11.77,0.0547,0.47%,281403791,44911,$12.14,$7.61,1.45,#FIELD!,"104,372"
"MEDIAALPHA, INC. (XNYS:MAX)",MAX,Finance,$55.43,-0.955,-1.69%,3253734823,26935,$61.25,$21.62,#FIELD!,0,"116,630"
MAXAR TECHNOLOGIES INC. (XNYS:MAXR),MAXR,Technology,$50.84,-1.281,-2.46%,3117750989,473594,$58.75,$7.18,1.38,0,"1,422,995"
MBIA INC. (XNYS:MBI),MBI,Finance,$7.41,-0.225,-2.95%,399339187,630673,$8.74,$4.93,1.03,0,"622,303"
Mobile TeleSystems Public Joint Stock Company (XNYS:MBT),MBT,Public Utilities,$8.62,0.1486,1.75%,7635803589,3117554,$10.19,$6.20,1.1,11.42,"3,144,602"
MOELIS & COMPANY (XNYS:MC),MC,Finance,$53.94,-0.56,-1.03%,3130161178,196172,$56.37,$21.14,1.28,19.31,"519,827"
BlackRock MuniYld CA Qly (XNYS:MCA),MCA,,$14.49,0,0.00%,498538839,112079,$15.26,$10.25,1.91,#FIELD!,"73,976"
METROPOLITAN BANK HOLDING CORP. (XNYS:MCB),MCB,Finance,$50.80,-1.26,-2.42%,421399818,17909,$52.78,$15.52,1.29,11.16,"84,403"
MCDONALD'S CORPORATION (XNYS:MCD),MCD,Consumer Services,$209.44,1.185,0.57%,1.56E+11,1556865,$231.91,$124.23,0.6,33.03,"3,270,571"
Barings Corporate Inv (XNYS:MCI),MCI,,$13.43,-0.075,-0.56%,272013578,9674,$16.59,$7.58,0.71,#FIELD!,"26,533"
MCKESSON CORPORATION (XNYS:MCK),MCK,Health Care,$174.11,0.36,0.21%,27712641934,374966,$187.67,$112.60,0.87,0,"1,088,425"
Madison CovCall & Eq Str (XNYS:MCN),MCN,,$7.39,0.1199,1.65%,154795674,44792,$7.40,$3.50,26.46,#FIELD!,"100,894"
MOODY'S CORPORATION (XNYS:MCO),MCO,Finance,$282.81,0.335,0.12%,52912815500,333683,$305.96,$164.19,1.15,30.07,"757,604"
MFS Charter Income Trust (XNYS:MCR),MCR,,$8.57,0.01,0.12%,379779310,41558,$9.09,$5.49,1.01,#FIELD!,"79,635"
THE MARCUS CORPORATION (XNYS:MCS),MCS,Consumer Services,$20.10,0.03,0.15%,624392269,143164,$26.81,$6.84,1.99,0,"854,601"
MERCURY GENERAL CORPORATION (XNYS:MCY),MCY,Finance,$60.09,0.32,0.54%,3326443652,63261,$61.17,$33.45,0.43,8.83,"282,169"
"MEDNAX, INC. (XNYS:MD)",MD,Health Care,$24.68,0.175,0.71%,2112965553,534568,$29.26,$7.37,2.17,0,"1,126,372"
"M.D.C. HOLDINGS, INC. (XNYS:MDC)",MDC,Capital Goods,$53.90,1.0481,1.98%,3775113419,402028,$56.90,$14.58,1.46,10.26,"638,902"
"MEDALLIA, INC. (XNYS:MDLA)",MDLA,Technology,$43.06,-0.16,-0.37%,6478314864,299574,$48.28,$16.04,#FIELD!,0,"1,730,377"
Medley LLC (XNYS:MDLQ),MDLQ,Finance,$3.51,-1.697,-32.57%,0,190939,$17.38,$1.85,#FIELD!,0,"31,373"
Medley LLC (XNYS:MDLX),MDLX,Finance,$3.51,-1.49,-29.80%,0,278100,$16.00,$1.89,#FIELD!,0,"32,846"
MEDLEY MANAGEMENT INC. (XNYS:MDLY),MDLY,Finance,$7.95,-0.89,-10.07%,45463689,55854,$27.90,$2.80,1.91,0,"204,649"
MEREDITH CORPORATION (XNYS:MDP),MDP,Consumer Services,$31.61,3.045,10.66%,1442278689,604783,$32.42,$10.01,2.36,0,"526,359"
MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),MDT,Health Care,$117.90,0.0351,0.03%,1.59E+11,1533198,$120.53,$72.13,0.78,55.77,"5,025,228"
"MDU RESOURCES GROUP, INC. (XNYS:MDU)",MDU,Basic Industries,$28.52,-0.15,-0.52%,5718895340,184951,$30.55,$15.00,0.7,14.73,"958,640"
"MAYVILLE ENGINEERING COMPANY, INC (XNYS:MEC)",MEC,Capital Goods,$14.72,-0.07,-0.47%,295274221,28624,$15.90,$3.89,#FIELD!,0,"37,293"
"MEDIFAST, INC. (XNYS:MED)",MED,Consumer Non-Durables,$263.71,-2.11,-0.79%,3103821869,44870,$279.46,$49.03,1.57,30.62,"120,110"
"MONTROSE ENVIRONMENTAL GROUP, INC. (XNYS:MEG)",MEG,Consumer Services,$47.18,-0.28,-0.59%,1177692062,73683,$51.62,$16.41,#FIELD!,0,"190,571"
"METHODE ELECTRONICS, INC. (XNYS:MEI)",MEI,Capital Goods,$40.31,-0.08,-0.20%,1512823739,77575,$43.11,$21.76,1.25,11.76,"176,467"
BlackRock MuniEnhanced (XNYS:MEN),MEN,,$11.82,-0.02,-0.17%,350835046,14083,$12.57,$7.82,#FIELD!,#FIELD!,"67,200"
"METLIFE, INC. (XNYS:MET)",MET,Finance,$59.28,-0.16,-0.27%,52427185880,3353252,$60.20,$22.85,1.33,10.53,"6,237,356"
"MFA FINANCIAL, INC. (XNYS:MFA)",MFA,Consumer Services,$4.16,0.06,1.46%,1880564887,1666588,$7.67,$0.32,1.77,0,"4,181,249"
MANULIFE FINANCIAL CORP (XNYS:MFC),MFC,Finance,$20.76,0.19,0.92%,40283922384,2571233,$20.82,$8.62,1.29,8.94,"3,711,913"
Macquarie/FTGI/Utl D&I (XNYS:MFD),MFD,,$9.24,0.1,1.09%,78978364,9283,$10.70,$5.15,0.91,#FIELD!,"39,992"
"Mizuho Financial Group, Inc. (XNYS:MFG)",MFG,Finance,$2.99,-0.01,-0.33%,37902224233,88660,$3.10,$1.96,0.78,2.73,"416,422"
MICRO FOCUS INTERNATIONAL PLC (XNYS:MFGP),MFGP,Technology,$6.10,0.09,1.50%,2043140606,241708,$9.53,$2.78,#FIELD!,0,"1,193,536"
BlackRock MuniHds Inv Ql (XNYS:MFL),MFL,,$13.96,0,0.00%,529031064,42368,$14.75,$9.82,#FIELD!,#FIELD!,"69,240"
MFS Municipal Income Tr (XNYS:MFM),MFM,,$6.66,-0.02,-0.30%,274309622,46355,$7.43,$4.85,1.9,#FIELD!,"96,753"
BlackRock MuniYld Inv Ql (XNYS:MFT),MFT,,$14.31,0.06,0.42%,121330469,1152,$15.25,$9.60,#FIELD!,#FIELD!,"16,635"
MFS Special Value Trust (XNYS:MFV),MFV,,$6.14,0.029,0.48%,44367044,7808,$6.39,$3.14,1.14,#FIELD!,"17,806"
"MISTRAS GROUP, INC. (XNYS:MG)",MG,Consumer Services,$8.72,0.1,1.16%,254559141,62616,$9.36,$2.77,2.1,0,"129,735"
Magna International Inc. (XNYS:MGA),MGA,Capital Goods,$86.67,0.75,0.87%,26046711145,623097,$87.76,$22.75,1.57,34.38,"1,654,393"
MFS Govt Markets Inc Tr (XNYS:MGF),MGF,,$4.44,0,0.00%,144683128,55612,$4.79,$4.22,0.32,#FIELD!,"139,262"
MGM RESORTS INTERNATIONAL (XNYS:MGM),MGM,Consumer Services,$38.87,0.57,1.49%,19199412778,5251751,$39.91,$5.90,2.49,0,"10,373,010"
MGM GROWTH PROPERTIES LLC (XNYS:MGP),MGP,Consumer Services,$33.76,-0.04,-0.12%,9451670087,1365160,$34.15,$11.43,0.8,61.22,"866,647"
"AFFILIATED MANAGERS GROUP, INC. (XNYS:MGR)",MGR,Finance,$27.02,-0.01,-0.04%,0,4939,$28.47,$14.68,1.38,0,"21,588"
"AFFILIATED MANAGERS GROUP, INC. (XNYS:MGRB)",MGRB,Finance,$25.19,0.12,0.48%,0,23314,$26.99,$24.65,1.38,0,"33,528"
Macquarie Gl Infrstrc TR (XNYS:MGU),MGU,,$20.85,-0.2,-0.95%,259963909,17250,$24.13,$10.66,1.32,#FIELD!,"35,437"
MAGNOLIA OIL & GAS CORPORATION (XNYS:MGY),MGY,Energy,$12.21,0.15,1.24%,3035040201,664506,$12.95,$3.23,2.71,0,"2,170,117"
BlackRock MuniHoldings (XNYS:MHD),MHD,,$16.09,0.0705,0.44%,228634427,18568,$17.37,$11.63,#FIELD!,#FIELD!,"35,776"
BlackRock MA Tax-Exempt (XNYS:MHE),MHE,,$14.20,0,0.00%,33668527,1454,$15.79,$11.34,1.73,#FIELD!,"5,400"
Western Asset Mun Hi Inc (XNYS:MHF),MHF,,$7.65,0.12,1.59%,165491945,34867,$8.00,$5.58,1.39,#FIELD!,"36,411"
Pioneer Muni High Income (XNYS:MHI),MHI,,$12.35,0.06,0.49%,281226160,16814,$12.75,$8.42,1.48,#FIELD!,"75,250"
"MOHAWK INDUSTRIES, INC. (XNYS:MHK)",MHK,Consumer Durables,$182.47,2.705,1.51%,12813851683,247251,$183.49,$56.62,1.56,24.95,"558,375"
"MAIDEN HOLDINGS, LTD. (XNYS:MHLA)",MHLA,Finance,$20.95,0.05,0.24%,0,304,$21.85,$10.89,1.33,0,"10,422"
BlackRock MuniHds NY Qly (XNYS:MHN),MHN,,$13.95,-0.01,-0.07%,434291721,41351,$14.34,$10.33,1.72,#FIELD!,"56,249"
Maiden Holdings North America Ltd (XNYS:MHNC),MHNC,Finance,$22.96,0.01,0.04%,0,3073,$23.50,$14.23,#FIELD!,0,"12,045"
"M/I HOMES, INC. (XNYS:MHO)",MHO,Capital Goods,$51.49,0.38,0.74%,1498857681,99534,$57.66,$9.62,2.07,6.23,"315,852"
MACQUARIE INFRASTRUCTURE CORPORATION (XNYS:MIC),MIC,Energy,$31.43,-0.4,-1.26%,2746864955,380602,$32.87,$9.10,1.58,0,"1,042,032"
Cohen & Steers MLP Inc&E (XNYS:MIE),MIE,,$3.21,0.03,0.94%,83755474,111550,$6.39,$1.20,#FIELD!,#FIELD!,"372,098"
MFS Intermediate Income (XNYS:MIN),MIN,,$3.77,0,0.00%,437058091,272020,$3.95,$3.23,0.44,#FIELD!,"472,423"
"AG MORTGAGE INVESTMENT TRUST, INC. (XNYS:MITT)",MITT,,$4.41,0.0619,1.42%,182901266,473913,$16.14,$1.46,1.7,0,"3,312,481"
MIX TELEMATICS LIMITED (XNYS:MIXT),MIXT,Technology,$14.47,-0.07,-0.48%,318997705,17898,$15.00,$6.64,0.95,33.56,"73,734"
BlackRock MuniYld MI Qly (XNYS:MIY),MIY,,$14.53,0.067,0.46%,428685015,28876,$15.08,$10.85,1.56,#FIELD!,"51,552"
"MCCORMICK & COMPANY, INCORPORATED (XNYS:MKC)",MKC,Consumer Non-Durables,$84.88,0.33,0.39%,22658117426,361708,$105.54,$56.11,0.46,9.27,"1,494,353"
Markel Corporation (XNYS:MKL),MKL,Finance,"$1,114.59",8.335,0.75%,15363231213,18362,"$1,273.92",$710.52,0.69,19.96,"75,633"
"MUELLER INDUSTRIES, INC. (XNYS:MLI)",MLI,Capital Goods,$41.62,-0.71,-1.68%,2377153270,113708,$42.53,$16.78,1.19,17.11,"264,849"
"MARTIN MARIETTA MATERIALS, INC. (XNYS:MLM)",MLM,Basic Industries,$338.65,-8.91,-2.56%,21093416354,325266,$353.56,$135.08,0.66,30.1,"527,388"
